Row 	OS 	name 	type 	"Short Description (Mayo doc, plus other notes)"
1	0	sizeof_hdr 	int32 	Must indicate the byte size of the header file.
2	4	data_type 	uchar[10] 	
3	14	db_name 	uchar[18] 	
4	32	extents 	int32 	"Should be 16384, the image file is created as contiguous with a minimum extent size."
5	36	session_error 	int16 	
6	38	regular 	uchar 	"Must be ""r"" to indicate that all images and volumes are the same size."
7	39	hkey_un0 	uchar 	
8	40	dim[0] 	int16 	Number of dimensions in database; usually 4
9	42	dim[1] 	int16 	Image X dimension; number of pixels in an image row
10	44	dim[2] 	int16 	Image Y dimension; number of pixel rows in slice
11	46	dim[3] 	int16 	Volume Z dimension; number of slices in a volume
12	48	dim[4] 	int16 	"Time points, number of volumes in database."
13	50	dim[5] 	int16 	undoc
14	52	dim[6] 	int16 	undoc
15	54	dim[7] 	int16 	undoc
16	56	vox_units 	uchar[4] 	spatial units of measure for a voxel
17	60	cal_units 	uchar[8] 	name of the calibration unit
18	68	unused1 	int16 	
19	70	datatype 	int16 	See DT_xxx values
20	72	bitpix 	int16 	"bits per pixel; 1, 8, 16, 32, or 64."
21	74	dim_un0 	int16 	unused
22	76	qfac	float 	
23	80	pixdim[1] 	float 	voxel width in mm.
24	84	pixdim[2] 	float 	voxel height in mm.
25	88	pixdim[3] 	float 	slice thickness in mm.
26	92	pixdim[4] 	float 	undoc
27	96	pixdim[5] 	float 	undoc
28	100	pixdim[6] 	float 	undoc
29	104	pixdim[7] 	float 	undoc
30	108	vox_offset 	float 	Byte offset in the .img file at which voxels start. This value can be negative to specify that the absolute value is applied for every image in the file.
31	112	funused1 	float 	SPM: Scale factor
32	116	funused2 	float 	SPM2: image intensity zero-intercept
33	120	funused3 	float 	
34	124	cal_max 	float 	max calibration value
35	128	cal_min 	float 	min calibration value
36	132	compressed 	float 	
37	136	verified 	float 	
38	140	glmax 	int32 	max pixel value for entire database
39	144	glmin 	int32 	min pixel value for entire database
40	148	descrip 	uchar[80] 	
41	228	aux_file 	uchar[24] 	
42	252	qform_code	int16	nifti orientation code
43	254	sform_code	int16	nifti orientation code
48	256	quatern_b	float	Quaternion b parameter
49	260	quatern_c	float	Quaternion c parameter
50	264	quatern_d	float	Quaternion d parameter
51	268	qoffset_x	float	Quaternion x shift
52	272	qoffset_y	float	Quaternion y shift
53	276	qoffset_z	float	Quaternion z shift
54	280	srow_x	float[4]	1st row affine trs
55	296	srow_y	float[4]	2nd row affine trs
56	312	srow_z	float[4]	3rd row affine trs
57	328	intent_name	uchar[16]	
58	344	magic	uchar[4]	
